lengde,brede,moh,tid
59.91682,10.5207,263,2732.516129032258
59.91673,10.52056,263,2744.193548387097
59.91655,10.52044,197,2755.8709677419356
59.91642,10.52052,197,2767.548387096774
59.91618,10.52048,197,2779.225806451613
59.91574,10.52022,197,2790.9032258064517
59.91562,10.52008,197,2802.5806451612902
59.91548,10.52002,197,2814.2580645161293
59.91535,10.51979,197,2825.935483870968
59.91514,10.51959,197,2837.6129032258063
59.91482,10.51918,197,2849.2903225806454
59.91474,10.51906,197,2860.967741935484
59.91467,10.51884,197,2872.6451612903224
59.91456,10.51872,138,2884.3225806451615
59.91445,10.51877,145,2896.0
59.91442,10.51897,145,2907.677419354839
59.91448,10.51924,145,2919.3548387096776
59.91448,10.51972,145,2931.032258064516
59.9144,10.52014,145,2942.709677419355
59.91449,10.52052,145,2954.3870967741937
59.91446,10.52072,145,2966.064516129032
59.91444,10.52068,145,2977.741935483871
59.91438,10.52075,145,2989.4193548387098
59.91418,10.52069,145,3001.0967741935483
59.91394,10.52077,145,3012.7741935483873
59.91336,10.52044,145,3024.451612903226
59.9131,10.52008,145,3036.1290322580644
59.91304,10.51985,145,3047.8064516129034
59.91287,10.51953,145,3059.483870967742
59.91279,10.51921,145,3071.1612903225805
59.91264,10.51898,145,3082.8387096774195
59.91246,10.51916,94,3094.516129032258
59.91231,10.5199,94,3106.193548387097
59.91221,10.52016,94,3117.8709677419356
59.91207,10.52022,94,3129.548387096774
59.91191,10.52013,94,3141.225806451613
59.91184,10.52002,94,3152.9032258064517
59.91172,10.5196,94,3164.5806451612902
59.91166,10.51922,94,3176.2580645161293
59.91152,10.51811,89,3187.935483870968
59.91134,10.51743,89,3199.6129032258063
59.91125,10.51673,89,3211.2903225806454
59.91118,10.51655,84,3222.967741935484
59.91079,10.51617,84,3234.6451612903224
59.91056,10.51603,84,3246.3225806451615
59.90992,10.51586,69,3258.0
59.90943,10.51522,69,3269.677419354839
59.90939,10.51494,69,3281.3548387096776
59.90921,10.51452,65,3293.032258064516
59.90899,10.51431,65,3304.709677419355
59.90859,10.5136,65,3316.3870967741937
59.90846,10.51342,65,3328.064516129032
59.90831,10.51302,73,3339.741935483871
59.9083,10.51276,73,3351.4193548387098
59.90827,10.51267,73,3363.0967741935483
59.90812,10.51256,73,3374.7741935483873
59.90796,10.51261,73,3386.451612903226
59.90782,10.51256,73,3398.1290322580644
59.90778,10.51259,73,3409.8064516129034
59.90779,10.51265,73,3421.483870967742
59.90782,10.51248,69,3433.161290322581
59.90778,10.51257,73,3444.8387096774195
59.90783,10.5125,73,3456.516129032258
59.90768,10.51249,69,3468.193548387097
59.90743,10.51264,73,3479.8709677419356
59.90707,10.51298,73,3491.548387096774
59.90667,10.51311,73,3503.225806451613
59.90656,10.51309,73,3514.9032258064517
59.90632,10.51332,73,3526.5806451612902
59.90607,10.5134,70,3538.2580645161293
59.90584,10.51336,70,3549.935483870968
59.90465,10.51435,70,3561.6129032258063
59.90436,10.51435,70,3573.2903225806454
59.90395,10.51453,80,3584.967741935484
59.9034,10.51448,80,3596.6451612903224
59.90302,10.51457,80,3608.3225806451615
59.9029,10.51452,80,3620.0
59.90271,10.51421,80,3631.677419354839
59.90262,10.51422,80,3643.3548387096776
59.90248,10.51447,80,3655.032258064516
59.90228,10.51507,83,3666.709677419355
59.90203,10.51564,89,3678.3870967741937
59.9019,10.51647,89,3690.064516129032
59.90188,10.51694,85,3701.741935483871
59.90165,10.5176,85,3713.4193548387098
59.90139,10.51786,85,3725.0967741935483
59.90115,10.518,85,3736.7741935483873
59.90101,10.518,85,3748.451612903226
59.90087,10.51814,85,3760.1290322580644
59.90071,10.51839,85,3771.8064516129034
59.90066,10.51841,85,3783.483870967742
59.90066,10.51828,85,3795.161290322581
59.90044,10.51857,85,3806.8387096774195
59.90027,10.51872,85,3818.516129032258
59.9001,10.51897,75,3830.193548387097
59.89985,10.51899,41,3841.8709677419356
59.89961,10.51922,41,3853.548387096774
59.8995,10.5194,41,3865.225806451613
59.89924,10.51947,41,3876.9032258064517
59.89917,10.51961,41,3888.5806451612902
59.8991,10.51989,41,3900.2580645161293
59.8989,10.52015,41,3911.935483870968
59.89882,10.5204,41,3923.6129032258063
59.8988,10.52061,41,3935.2903225806454
59.89874,10.52071,41,3946.967741935484
59.89849,10.5206,41,3958.645161290323
59.89839,10.52043,41,3970.3225806451615
59.89813,10.52034,41,3982.0
59.89764,10.52064,16,3993.677419354839
59.89736,10.52055,16,4005.3548387096776
59.89708,10.52036,16,4017.032258064516
59.89711,10.51984,16,4028.709677419355
59.89707,10.51961,16,4040.3870967741937
59.89697,10.51925,16,4052.064516129032
59.89668,10.51865,32,4063.741935483871
59.89647,10.5181,32,4075.4193548387098
59.89638,10.51763,32,4087.0967741935483
59.89633,10.51755,32,4098.774193548387
59.89616,10.51751,32,4110.451612903226
59.89606,10.51757,32,4122.129032258064
59.89589,10.5178,32,4133.806451612903
59.89566,10.51832,10,4145.483870967742
59.89535,10.51865,10,4157.1612903225805
59.89528,10.51868,10,4168.8387096774195
59.89507,10.51857,10,4180.5161290322585
59.89475,10.51874,10,4192.193548387097
59.89465,10.51865,10,4203.870967741936
59.89437,10.5186,10,4215.548387096775
59.89413,10.5187,10,4227.225806451613
59.89387,10.51869,10,4238.903225806452
59.89333,10.51849,13,4250.580645161291
59.89326,10.51853,13,4262.258064516129
59.89319,10.51864,13,4273.935483870968
59.89314,10.51863,13,4285.612903225807
59.89289,10.51843,13,4297.290322580645
59.89285,10.5183,13,4308.967741935484
59.89286,10.51791,13,4320.645161290323
59.89283,10.51786,13,4332.322580645161
